index,2018年度,2019年度,2020年度,2021上半年,2021下半年,2022年度,2022年评分,2023年度,2023年评分
191, ,140、考试途中，教室门突然被打开。“听说这里有煎烤老师？”食人酋长咽着口水问道,170、写论文太入迷晕倒了，清醒过来后“水……水……水”导师把我写的论文塞我嘴里了,114、某学校发生集体食物中毒，学校顺藤摸瓜将所有违反学校规定偷订外卖的学生一网打尽,099、硕士比本科生更聪明是不是因为他们把脑子里的水都倒到论文里了？,165、云卷云舒，人卷人累,3.84,140、“如此生活三十年，直到大厦崩塌。”1971年入职的美国世贸中心保安在回忆录中写道。,3.84
192, ,139、电车司机在发现铁轨上绑着人时及时刹车招致哲学界广泛批评。,169、他骨子里充满了骨髓,113、小明考试排名太后竟开始垂帘听政,098、医生叹了口气走出手术室，对家属摇了摇头说：“我脖子好酸。”,164、真人秀为了证明节目没有剧本，专门请了一堆不会演戏的流量明星。,3.84,139、为什么你这个双人份套餐里的薯条是奇数根？,3.84
193, ,138、老王是个十足的坏蛋，每次买鞋子都要买五双。,168、子在川上曰：逝者如斯夫不舍昼夜。子在川中曰：救命,112、中国每个人的平均工资都是一样的,097、所谓久别胜新婚，两个十年未见的仇人被法官判定当庭结婚,163、我只剩两分钟寿命了，但是我每次呼吸能重置这两分钟倒计时,3.84,137、买了一本《张小龙传》翻开一看全是空白，只在第一页写着文件已过期或被清理。,3.84
194, ,137、“为什么不来上体育课？”<br>“我绝育了。”,167、一个水蛭问另一个水蛭说：你为什么抓不到食物？另一个水蛭回答说：“因为我是弱蛭”,111、上帝成了无神论者，因为他不太自信。,096、喜羊羊已经开拍16年了，普通的羊寿命只有15年左右，会不会喜羊羊里面的演员早换了,162、《论语》何尝不是一种密集孔句？,3.84,136、中子问质子为什么还不出发，质子说他在等离子烫头。,3.84
195, ,136、大爷您消消气儿，我把输氧管给您拔了,166、这栋楼因格格不入建筑风格吸引了大量蓝精灵入住。,110、同学们或许还不知道吧，在你们都已进入梦乡的时候，老师还在辛勤地讲着课。,095、由于题材过于猎奇，我的sci论文被拒并建议我转投scp。,161、秦惠文王问道商鞅：公善变法，可曾听闻马裂主义？,3.84,135、面对歹徒开枪射击，王警官严厉批评其射击姿势不够标准。,3.84
196, ,135、女友说我要像对待公主一样对她，于是我把她送去和亲了,165、“爸爸！你会唱小星星吗？”<br>“**你个**！***写**完作业了吗？****！”,109、我起床开灯，把屋里的夜还给星空。,094、致谢并不是论文的终章，而是青春的悼词。,160、知了掉进泉水淹死，也算泉下有知了。,3.84,134、欢装好人的王老汉被警察发现家里冰柜装满了好人。,3.84
197, ,134、“上学都不带脑子，你中午吃什么？”僵尸老师问僵尸学生,164、如何称呼一个3.14m³的小星球？π大星。,108、长大后，乡愁是一座矮矮的坟墓。你在里头，我刮墓相看。,093、制订了周密的学习计划，希望周密好好学习,159、“你不要吹牛”保洁指着卫生间里错误使用烘手机的男人说,3.84,133、全班第一名每次都是我们班的人，感觉有什么黑幕,3.84
198, ,133、“我发誓要让你们吃到苦头！”王老汉面对食人族的包围，一头撞死在苦瓜上面,163、“王先生，恭喜你啊！是个男孩。”王老汉雇的私人侦探调查他儿子的恋人后向他报告。,107、讲究真材实料的王老汉在老婆饼里放了老婆，顾客吃出纸屑后愤怒投诉。,092、鱼戏莲叶东市买骏马<br>鱼戏莲叶西市买鞍鞯<br>鱼戏莲叶南市买辔头<br>鱼戏莲叶北市买长鞭,158、草，壮羊药,3.85,132、禁止本院医生在手术中未经允许擅自在患者体内添加葱花。,3.85
199, ,132、“我宣布！”来自台湾的貂蝉说。,162、看见最近的机票很便宜，我赶紧把房子卖了全部买进等着疫情过后涨价,106、不靠谱的小明靠记忆力弹完了钢琴曲。,091、offline是“不在线”，那office可不可以理解为“不要冰”？,157、飞盘吗？刘备拿着核桃问三弟。,3.85,131、“当时觉得挺有趣的，就把他拍了下来。”小明解释小王为何坠楼。,3.85
200, ,131、非洲多国欲引进《爸爸去哪了》亲子节目,161、老婆坦言怀上我最好兄弟的孩子。我：双厨狂喜！,105、“如果在华莱士有考核，你觉得会考什么？”<br>“考拉。”,090、时隔80年日本成功对美国发动核打击,156、女王连续会见三个首相,3.85,130、游戏里生命可以有几十条，但是现实中生命只有一条，所以我们要珍惜游戏。,3.85
201, ,130、祝您福如东海。——精卫祝您寿比南山。——愚公,160、女孩子晚上出门扔垃圾一定记得要带上垃圾,104、去别人家做客从不带东西，这就是我的空手道。,089、出来了！出来了！360搜索引擎年度关键词：百度！,155、点了一份炒面外卖，骑手却送来了一份盖浇饭，我打电话询问，他说他是假面骑士。,3.85,129、杨过只剩一只手都这么厉害，两只手都没了还得了？,3.85
202, ,129、“内个多少钱啊？”<br>“对不起朋友，现在买卖黑奴是违法的。”,159、公司推崇狼性文化，工作前10分钟集合员工观看狼发情交配视频。,103、你做梦只能梦到你能想象到的事，你清醒的时候才会发生想象不到的事,088、小王去了大学，小刚去了中专，小红去了百货商场。这三个地方保安待遇都挺好的。,154、擅长安慰他人的小明在大赛中喜提安慰奖,3.86,128、美方严正声明：韩非子。,3.86
203, ,128、在王警官的反复逼问下，影院工作人员只好向所有观众坦白了凶手名字,158、“主人的任务罢了”他边采棉花边说。,102、发语音条的人，是否触犯了输入法？,087、夫妻本是同林鸟，大难临头各自冷静一个月再飞。,153、“玉帝，人间嫌小星星不够亮。”<br>“派大星。”,3.86,127、“苏轼，你又被贬了，怎么办？”<br>“我在想辙。”,3.86
204, ,127、抽两位铁粉做干燥剂,157、家里的猪油没了，小明只能把植物油倒快点当猪油用了。,101、这个世界上真的有诅咒，昨天有个人说让我下地狱，今天我就在上班了,086、新一被打晕变小后为什么还能成为名侦探？因为这孩子打小就聪明。,152、终于把驾照考到手，以后再也不用开车咯！,3.87,126、白话：谈钱伤感情；<br>文言：既要交，岂言钱？,3.87
205, ,126、今天早上小明在厕所拉出了今日头条,156、“很感谢你在这种情况下还能为我发声。”我对声带说道。,100、如果说网络是一副面具的话，人们戴上它怎么反倒露出真面目了呢？,085、“说一句没有十年脑溢血说不出来的话。”<br>“我有十年脑溢血。”,151、<br>12:00 留给中国男足的时间不多了……<br>12:01 进了！男足终于踢进一球！！！<br>12:00 糟糕！裁判判决进球违例！分数取消！,3.87,125、闰土说：“水生病了。”鲁迅听完连忙请来大禹治水。,3.87
206, ,125、出人头地常年盛产人头,155、你必须平等地对待每一个人，才能最客观地把他们分出三六九等。,099、我做了一个1：1的地球仪，你往窗外看就能看见了,084、现在论文越来越多，但是搬起来却不用费力气，因为它们没有任何质量,150、颜真卿，琅琊临沂人，字好看。,3.87,124、老太太连发五十条六十秒语音成功气死电诈人员,3.87
207, ,124、“你们不要再蹭死者热度了好不好！”王老汉生气地将围在焚尸炉边上取暖的人群遣散。,154、去掉一个最高分，去掉一个最低分，本次考试我们班开除两名学生,098、怎么只有小天才电话手表？小天才会走丢吗？<br>市场上更需要小弱智电话手表,083、医生试图叫醒昏倒的病人：“醒醒！现在还不能昏！离昏还需要三十天呢！”,149、经过一夜的审问，王警官发现嫌疑人很符合自己的择偶标准，三观也合得来。,3.87,123、重大发现！碗可以装饭原来是运用了纳米技术。,3.87
208, ,123、在显微镜下，小便变成了大便,153、观音菩萨因涉嫌多次协助他人高考作弊被警方依法逮捕,097、我是家里唯一的火源，我爸妈看到我就来火,082、我删除掉整个世界，世界却只删除一个我,148、毕业即失业的毕业寄又到了,3.87,122、拖延症学生大叁制作视频，大肆渲染。,3.87
209, ,122、精神分裂症患者经过不懈努力终于遇到更好的自己,152、路上堵车，幸亏车上有脉动瓶子，不然车上就没有脉动瓶子了,096、从我确诊出生的那一刻起，我的死亡就只是时间的问题,081、“你做主吧”玛利亚对她儿子说到。,147、也许我的脖子每天都很颓废，因为它觉得自己顶着的东西太愚蠢了,3.87,121、双十一将至，父亲拿走拓海车上那杯水，换成一部智能手机。,3.87
210, ,121、我校学生在此次大赛中斩获评委的头,151、现在你死了我这么伤心，以后我死了你可不能没有一点反应啊,095、爱情让人盲目，也让盲人重获光明。,080、“我出门了。”踏进收容所的大门时，流浪汉对整个城市说道。,146、Q：巡音多少岁？<br>A：三十岁，因为是儿力之年。,3.87,120、梅西的阿根廷球衣都售罄了，那决赛那天梅西穿什么？,3.87
211, ,120、宁波真的好大,150、多年以后，他去世了。在追悼会上，大家发现他的微信ID还是那个熟悉的“不过四级不改名”,094、玫瑰越来越贵，爱情却不断贬值。,079、我躺在床上，被子躺在我身上<br>原来我也是床，被子才是唯一睡觉的人,145、泥头车司机返回事故现场承认：我是原创,3.88,119、古人有那么多封号，是不是说明古人很爱开挂？,3.88
212, ,119、长年性冷淡的王老汉，终于在神医的劝诫之下想透了,149、自来水是脏的，没洗过的苹果也是脏的，那为什么用自来水洗过的苹果会是湿的呢？,093、耻辱柱因为刻上了我的名字而被刻在了耻辱柱上,078、会不会是我本来就考不上清华，而不是我不想去？,144、一枪爆头，老外挂了。,3.88,118、怕上火，住下水道。,3.88
213, ,118、刽子手在离刑场100米的地方对囚犯说“前方100米掉头”,148、奇怪，垃圾桶里长出的玫瑰和我送的一模一样呢,092、赞美上帝：好耶,077、您瞧这地铁修得，那叫一个地道,143、欢迎来到嬴政直播间！<br>下面要推荐的这些书非，常，火！<br>很多小伙伴都入坑了！,3.88,117、“大雄宝殿！”来自陕西的哆啦A梦阻止大雄点击诈骗链接。,3.88
214, ,117、第一届青龙山百人捉迷藏大赛共计0人死亡，0人受伤，100人失踪,147、小明是个和事佬。每当上课眼皮子打架时，小明很快就能让他们合好,091、在山东姑姑的婚礼上，我对着新郎官说道：是我姑父了你。,075、艹粉的偶像，又被称为干饭人,142、日本的禁止停车指示牌拟人：莫泊桑。,3.88,116、王警官看到尸体上插着蜡烛才想起今天是自己生日。,3.88
215, ,116、“女人就是用来疼的”蒋劲夫说到。,146、“想变成大人么？”女子对着满脸羞红的小男孩掏出了一份996劳动合同,090、死亡是一个长长的队伍，但是吸烟的人经常插队，因为吸烟先。,074、如果男同是由1和0组成的，那么可不可以用男同来编程,141、“这雪，已经下了一天一夜了。”<br>“因为它用的百度云？”,3.88,113、梦到我搬家了，还好梦和现实是相反的，我加班了。,3.88
216, ,115、去世后被泡进福尔马林的小张可以说是身在福中不知福了,145、《核舟记》是人类历史上第一部系统介绍核动力潜艇的军事著作。,089、“升职这件事，还麻烦您亲手办一下”领导爽快答应，拿起桌上的蕾姆酱吧唧就是一口。,073、为什么休息日过得快，工作日过得慢呢？因为工作日有5天，休息日只有两天,140、即使走入社会，孙悟空还是被原生家庭压抑了500年。,3.89,111、<br>911前：请纽约市民注意市容市貌；<br>911后：请纽约市民注意市容。,3.89
217, ,114、等红灯的同时，你也在等绿灯,144、老王知法犯法，可谓知行合一。,088、有困难找警察，没困难以入睡,072、我白天从来不说梦话<br>因为我想攒着晚上告诉月亮,139、我的c语言程序设计是59分，不难推出我的c++程序设计是60分。,3.89,110、机智的诸葛亮将稻草人涂黑，成功从美国警察处借来十万颗子弹。,3.89
218, ,113、汉化组把漫画里的女性角色全部汉化成男人。,143、我买的雪糕实现了自动化,087、把肉剁碎可以得到肉末，我的一周也过得稀碎，能不能得到周末？,071、刘姥姥虽然是个下里巴人，但她总是引经据典，所有的话都出自四大名著，可见她深藏不露,138、王警官拉起警戒线，严禁考研学子进入凶案现场争抢保研名额。,3.90,109、重阳节建议给60岁以上的老人放半天假。,3.90
219, ,112、14岁的小明因过度自恋被当成恋童癖抓到了监狱。,142、小王订了张飞去北京的机票，给张飞省了一大笔钱,086、原来公司是温暖的大家庭啊，我说我怎么是孙子呢,070、这个杀手不太冷，但他媽觉得他冷。,137、人体80%是水，所以喝八杯水可以用吃十杯人代替。,3.90,108、石头剪刀布不是公平的游戏，因为先手和后手的胜率差距太大了。,3.90
220, ,111、百度魔镜：只要你出价比白雪公主高你就是排位第一的美女。,141、薛定谔一怒之下将猫关进黑盒子里，说道：“不知死活的猫！”,085、虽然我不是弱智，但还是想问一下大家，欲盖弥彰这个词是什么意思？,069、“自我介绍一下吧。”<br>“你好，我是弱智吧。”<br>“这咋还不确定呢？”,136、目前国际局势紧张，专家建议大家害怕的话可以少看新闻。,3.90,107、公司年会上表演千手观音的演员有俩去加班了，于是节目改名为996观音。,3.90
221, ,110、叫来冰火两重天的技师对我冷嘲热讽,140、本文作者采用了炫耀的修辞手法，引起读者羡慕,084、大家别再当谜语人了，别又发生上次那种事,068、“这是内鬼”古代的鬼彬彬有礼地介绍自己的妻子。,135、“没带就是没做”，老师解释自己不带套的原因,3.90,106、通过两位坠楼死者的死亡推断时间，王警官验证了自由落体定律。,3.90
222, ,109、喜欢稳固感情的小明已经谈了50多段三角恋了,139、我觉得考试交白卷就计零分的做法很不合理，这样就埋没了那些真正凭实力考出零分的极品弱丨智,083、美洲是第一个发现哥伦布的新大陆,067、“怎么每次扫黄都有你？”小张忍不住抬头询问扫黄大队队长,133、确保能找出卧底，黑社会老大把问卷星的选项设为必填。,3.90,105、工作日一般不开演唱会，因为要放假唱。,3.90
223, ,107、现代人可以把春宫图叫做祖冲之,138、你父母辛辛苦苦养了你十七年你还没成年，对得起他们吗？,082、据不完全统计，一年有11个月,066、网上很多人的思维跟二极管一样，所以我猜测他们都是硅基生物,132、肛拭子：便民采集点集采民便,3.90,104、西北人真热情呀，虽然我说他们有点鼻音，但是他们还是说我有求必应。,3.90
224, ,106、司马昭之心，位于横膈之上，两肺间而偏左。,137、“去海底捞吧”，老猴子看到孙悟空没合适的兵器便说。,081、很多人认为抬头才能看见宇宙，其实宇宙也在我们脚下,065、狗：你为什么不找个主人呢？<br>狼：你不懂自由！<br>狗若有所思地离开了动物园。,131、根据万有引力公式，我的论文不吸引导师可能是因为它没有质量,3.90,103、“你笑个P啊！”<br>“:P”,3.90
225, ,105、病床上的王老汉突发拖延症，迟迟没有死,136、三年，说短不短，说长不长。三年：“短不短，长不长。”,080、人生就像是一盒巧克力，但总有人是狗。,064、向禁欲的寺庙求姻缘，向不出门的方丈问人生,130、大家不要再用QQ了，只要登录一下你的账号密码就被腾讯知道了,3.90,102、路易十六倒台后，他本人便陆陆续续地离开了历史的舞台。,3.90
226, ,104、为防止考生作弊，所有考生一律不得进入考场。,135、我都没听课，凭什么要我参加考试,079、海绵宝宝被诊断患上了多洞症,063、卑鄙是卑鄙者的前两个字，高尚是高尚者的前两个字。,129、矛盾不断升级，增加了攻击力和防御力,3.90,101、威利斯·开利：“早知道就不发明空调了，让你们没空调修。”,3.90
227, ,103、小明在浪费大赛时勤俭节约，浪费了获得冠军的机会，最终获得了冠军。,134、屠宰场杀猪前给猪看高等数学，使其头大以增加猪头肉产量,078、张飞说“小心翼翼”时是在撒娇。,062、鲍勃·绦纶有一天终于受不了静电了，换成了鲍勃·纯棉,128、在不记名投票中，患痴呆症的王老汉被票选为第一,3.90,100、王护士被蚊子咬了，之后每次都能准确找到患者的血管。,3.90
228, ,102、官府悬赏梁山众人的人头，豹子头林冲侥幸躲过一劫,133、网课让我们可以足不出户地迟到，真的太方便了。,077、弱智网友们个个不甘示弱，导致博主久久无法更新,061、王建国：我曾经。。。<br>旁人：别说了！建国以后不许曾经！,*127、<br>脸怎的黄了？防冷涂的蜡！<br>怎的又红了？河南给的码！,3.91,099、王老师：“我先考考你。”于是找来了死去的父亲出题。,3.91
229, ,101、去年驾鹤西去的李先生已经有一年驾龄了,132、美国的红灯不行，中国的绿灯行！,076、我发誓我一定要做一个了不起的人！先从睡了不起开始,060、大多人想做医生，却极少人想扫地，这导致了垃圾到处都是。,125、出现在大学考场上大多数不是大学生，是赌鬼。,3.91,098、很少有人写自传会提到自己的死因，是不是人都比较忌讳这个呀？,3.91
230, ,100、我每天废寝忘食地睡觉吃饭,131、世界上每一把牙刷都是进口牙刷,075、被骗的诸侯跑到城楼下，只见城楼上的周幽王叫到：“I'm Zhou King.”,059、骨折应该是传染的吧，不然为什么一个病房全是骨折的,124、漫威宇宙叫MCU，DC宇宙叫DCU，那我的宇宙是不是叫ICU。,3.92,097、“我要创文明城市！”说完恐怖分子开飞机创纽约去了。,3.92
231, ,099、“我有个朋友出意外死了。”<br>“你说的那个朋友到底是不是你自己？,130、程序员小王发现自己键盘上Ctrl和C键坏了，哭的如丧copy,074、“初极狭，才通人，复行数十步，豁然开朗”——出自《先见其狭传》,058、B疑惑地问β，“你是啥b”,123、关羽在离开曹营时承诺以后和曹操交战时给他放水,3.92,096、观众席那么多人穿10号，怎么认出哪个是梅西？,3.92
232, ,098、据我所知，我一无所知。,129、我问领导：“这份文档需要我丨草丨拟丨吗？”,073、数学老师直接在祖宗祠堂里玩起了排列祖盒。,057、范进中举，又名出道即癫疯,122、“老天有眼！”女娲大哭。,3.92,095、自从来华莱士工作后，这些顾客在我面前屁都不敢放一个。,3.92
233, ,097、抓到嫌犯，经验丰富的王警官突然升级。,128、我的贫穷已经完全突破了我的想象，成为了现实,072、光年既然是个距离单位，狗日就是一条狗跑一整天的距离,056、为了庆祝泼水节，大学生开始互相传阅论文。,121、“我要结婚了，新郎不是我。”新娘说。,3.92,094、我是住在A栋的，很少见这B栋静。,3.92
234, ,096、“爬！”一位父亲对新生儿说到。,127、“实在是难分伯仲！”大乔跟孙权在床上对孙策解释道……,071、遇到有人溺水可以直接往水里通电把水电解成氢气和氧气供人呼吸,055、秦始皇焚书坑儒，机智的道士把儒家学术抄在了《博人传》上,120、老板给了我工作，为什么还要给我工资？,3.93,093、看来路易十六不是被冤枉的，因为冤有头。,3.93
235, ,095、现在的女孩子真是太不自爱了，我就从没听说过谁家男孩子未婚先孕,126、双重否定等于肯定所以死鬼就是活人,070、曹操：“今天下英雄”于是出门捡英雄。,054、如何做鸡兔同笼：首先随便蒙一个数，然后说他们来自日本,119、参考答案：(ﾉ)`ᝫ´(ヾ),3.93,092、把昆虫放进水里，水就变混浊了。,3.93
236, ,094、“我实在是没有梗了”脑梗病人转行段子手不出一个月竟完全痊愈,125、老爸问我高考考了多少分，我告诉他差八分上211。我绝对不会让他知道我考了203分,069、弱智吧，弱智只占三分之二,053、既然正义的反义词是邪恶，那么大光明的反义词就是小至暗,118、受就业率影响，《生化危机》系列将更名为《生化环材危机》,3.94,091、我破解了张恒地动仪的原理！把八部手机分别固定在罗盘的八个方位，哪个方位的手机跳转淘宝了，就说明哪有震感。,3.94
237, ,093、我没什么特长，要不给大家表演一个即兴肠胃炎吧,124、秦始皇因不想学习外语连灭六国，堪称最讨厌外语的学生,068、立<br>日<br>——《斜音梗》,052、日本在福岛发现一种新的扇贝命名为氚钡铍钯锆,117、我会在网上玩一些水上运动，比如：冲浪、潜水和写论文。,3.95,*090、诸葛亮还是太保守了，如果诸葛亮当初放的是气球，就能借到10万枚导弹了。,3.95
238, ,092、女娲旱季捏人不慎睡着，数百泥人悉数成为沙雕,123、李白在会写诗之前，他还不会写诗。,067、草，这辈子死定了！,051、停车这人是瞎子吧？不然为什么把车停盲道上,116、王某作弊被抓，在亮出准考证后，考官准许其继续作答。,3.95,089、当一个国企员工离职决定叛逆一把去纹身，<br>“请给我纹一个大大的死字！”<br>“您要什么字体？”<br>“仿宋_GB2312”,3.95
239, ,091、所有人都在放假后第一天无心工作学习，所以我建议把假期后第一天也改为放假,122、一个十块钱的西瓜，王老汉切了一刀后，竟然变成了两块,066、在监考老师的观测下，考生们纷纷坍塌。,050、文学家死后会成为天文学家吗？理学家死后会成为地理学家吗？,*115、“你上大号说话。”前总统和现总统互相嘲讽道。,3.95,088、为什么单位学校这些都有保卫处，没有进攻处？,3.95
240, ,090、深知“穷人的孩子早当家”道理的小明年纪轻轻就变成了一幢房子,121、“王爷，王妃已经被送去法国三年了”<br>“肯认错了吗？”<br>“第一天就肯认错了。”,065、烦心的蛇对好朋友蝎子说：走，去泡酒吧,049、马上去考信号与系统了，我信号不好，先挂了,114、尸检结果：难吃！,3.96,087、《出师表》第一句就提到了先帝，为什么刘禅不重用先帝？,3.96
241, ,089、cxk超话被封，中国陷入水资源危机,120、美国人，又称老鹰洋人,064、心脏手术失败原因是医生没有get到梗在哪,048、孩子色盲了，好心人捐捐色图救救孩子。,113、体弱多病的小王决定成为职业病选手,3.96,085、在关于面前两位副主任该先给谁倒茶的问题上尿分叉的老王并没有退缩。,3.96
242, ,088、案件持续发酵，最后变的松软可口,119、据我多年观察发现，jk罗琳并不是高中生。,063、拼多多为什么不早出现几百年，这样微积分就是中国人创立的了。,047、我要偷偷努力，然后在所有人的预料之中失败,112、人类不想下地狱，撒旦催人类下。,3.96,084、母亲去世后我养成了翘兰花指的习惯，这样别人就会骂我有点娘。,3.96
243, ,087、王老汉临死前还每天坚持活着的精神值得我们学习,118、老王呼吸不畅经检查发现居然是因为经常阴阳怪气,062、冰上运动员经常滑倒，为什么不把冰面做成防滑的？,046、“2020年最后一天，郭老师和于老师都道歉了！”<br>“德云社怎么了？”,111、我下楼遛狗，遇到大爷遛弯，他撸了撸我的狗，我摸了摸他的弯。,3.97,083、小明大骂人力是SB，却被领导纠正为HR,3.97
244, ,086、小明的炮友叫什么？透明人,117、小王环顾四周，耗时28天。,061、餐厅上菜慢食人族谓其厨师曰：“无语，城北徐公熟没？”,045、如果全国人民每人给我一块钱，就能在不知不觉中完成全国人口普查,110、<br>未知全貌，不予置评；<br>若知全貌，开始控评。,3.97,082、祖冲之故居又叫π出所。,3.97
245, ,085、听信“一分干掉一千人”恐怖分子发奋读书高考考出好成绩,116、小明因为没有在微信刷票而错失诚信大赛冠军,060、上班，又称坐椅待币,044、只有小孩子才说喝茶，成人用品。,109、原始人为什么要那么辛苦地钻木取火啊？有的人不是看一眼就来火吗？,3.99,081、喂，医生问你话呢！得啥病啦？,3.99
246, ,084、真是远亲不如近邻。找来所有亲戚都无法和病重的儿子骨髓配型，最后还是邻居大哥成功了！,115、“勉强能冲”小明如此评价劣质马桶,059、电影院和宾馆，是人类的主要七夕地。,043、有个群友经常在我们说话时冒出来说一句：“草，有毒”怀疑是神农混到了我们群里,108、<br>“有人质问食品安全问题。”<br>“那是他们现在该关心的问题吗？！”绑匪回答道。,3.99,080、评论区留下身份证号后两位，一样的在一起。,3.99
247, ,083、“新的一年，也要努力加油哦！——中石化宣,114、“爷是你爹”小明对他爸说,058、抽烟算不算提前给自己上香？,042、震惊！反人类的设计竟然都是人类设计的！,107、为了提前得知高考成绩，小明一题没写。,3.99,079、自从有土木工程学生紫砂后，学校工地频频出现鬼打墙。,3.99
248, ,082、“我们一起学猫叫”说完小明扔掉了第五号染色体短臂,113、枫叶落在了我的头上，秋天给了我一巴掌。,057、“我觉得你今年一定会上岸”<br>“我还没说我想考哪个大学呢”<br>“回头也是岸”,041、“明年二战”1938年考研结束后一名考生说到。,106、科学家研究陨石的成分后，发现都是大家儿时的愿望。,4.00,077、王老汉钻被窝时不顾老婆反对使用电钻。,4.00
249, ,081、我叫斧新，最近减肥瘦了两斤，你也可以叫我父亲,112、“难道菜就不能打游戏吗？”大白菜坐在电脑前愤怒地说到,056、根据《史记》记载，荆轲刺秦王未成使得秦王大怒，那么如果成功了的话秦王会大喜吗？,040、愚公发现用了耗子药家里的耗子就没了后，通过类比法买了两斤山药成功移走山,105、女娲创造了人类，人类也创造了女娲。,4.00,*076、我本以为饭里疑似出现鼠头是今年最恶心的了，没想到今天又听说粥里疑似出现孙笑川。,4.00
250, ,080、我常因为不够变态而和你们格格不入，小蝌蚪对爸妈说,111、今晚月色真美，相比之下你真是丨丑丨得丨批丨爆丨,055、遗憾其实是一种时态，过去未完成时。,039、你要是把开水放凉了，那它就是白开了,104、陈睿打游戏，我的叔叔娱乐。,4.00,078、双重否定表示肯定，我在夸你呢，沙贝丑八怪。,4.00
251, ,079、“这家回转寿司种类真少。”食人族王老汉站在旋转木马前说到。,110、煮豆燃豆萁，豆问红豆泥？,054、「好怪，再看一眼！」悟空开始上下打量女妖精。,038、“借个火。”老丁对边上的小伙说。“行！”小人对老灯说。,103、数学有奇数和偶数，文学有奇遇和偶遇,4.00,075、怕影响孩子高考，至今不敢告诉他十八年前已经被我打掉了。,4.00
252, ,078、随着裁判员的一声枪响，最后一名运动员也倒在了血泊之中。,109、手术很成功，两碗粉都保住了,053、今天班长统计衣服尺码，xs，根本穿不上。,037、妈妈的爱是我走向死亡路上的绊脚石。,102、“你愿意接受我的一切吗？”刽子手行刑前问犯人。,4.00,074、协和医院治不好的患者都转到火葬场了，是不是说火葬场是协和医院的上级医院？,4.00
253, ,077、我眼泪总是不争气地往下流，如果争气的话我眼泪应该往上流。,108、写作业时我采用了欧亨利式的手法，写到一半不写了。老师采用了倒叙的手法，给了我001分。,052、光着急没有用，速度没法超越 299792458 m/s,036、成年人的崩溃从算了开始，计算机的崩溃从不算了开始,101、“食物中毒了！”食人族将被毒蛇咬伤的病人紧急送医。,4.00,073、送外卖。开门取餐的阿宅很没礼貌，是个凶宅。,4.00
254, ,076、我发现现在孩子体质越来越差了，记得很多年前我打一个小学生都费力，昨天我一口气打了五个，轻轻松松,107、热爱二次元文化的小明把ACG刻进了DNA里，于是体内多了一个苏氨酸,051、我目视前方，余光中写出了《乡愁》。,035、因为宣传狼性文化，这只狼在狼群里被视为色狼。,*100、菊势紧张是因为大便窜访,4.00,072、口和吕，其实是残次品。,4.00
255, ,075、王警官看破真相之后导致真相不完整。,106、我妈问我房间的灯关了没，于是我特地开灯检查了一遍，果然没关。,050、午睡太舒服了，建议每天醒来第一件事就是午睡。,034、阴间规定：禁止过阳节,099、所有人都只关心你飞得高不高，只有我不关心。,4.00,070、排队的时候发现自己被陌生人尾随了该怎么报警？,4.00
256, ,074、他死了关我什么事，我埋他的时候他还活蹦乱跳的呢。,105、川老汉为了继续当总统，各路神仙都拜过了，唯独忘了拜灯,049、之所以不和我的叔叔联系，是因为于勒圈里的事情太脏了,033、愚公移山为什么不找精卫打工，精卫填海为什么不让夸父先喝掉点，夸父追日为什么不到后羿那要现成的,098、西瓜的味道真的跟西瓜汁一模一样，简直是西瓜汁平替，我愿称之为固体西瓜汁。,4.00,069、医生兴高采烈地向家属宣布，病人不心动挑战成功。,4.00
257, ,073、纯路灯，发一点客观的光。,104、被世人看扁的我，终于如愿以偿的成为了二次元。,048、河南人给中评相当于给好评,032、为什么要感到伤心，难道你的生活还不够可笑吗？,097、考虑到醉酒易致交通事故，酒量或将成为科目二考试项目,4.00,068、压死骆驼的最后一根稻草也是压死骆驼的第一根稻草。,4.00
258, ,072、越王勾践第一次看到一身是胆的赵云就沦陷了,103、小明回家给父母拜年，父母：“谢谢，真的有被孝到”,047、你这台手术成功率很高。因为这类手术成功率为10%，而我今天已经失败九台了。,031、开关是灯的日出日落，日出日落是灯的开关。,096、“能不能给我换个宿舍，我舍友个个都像罪犯！”我向狱警投诉道,4.00,067、nnd，早知道最后被第三志愿录取，第三志愿就应该填清华的。,4.00
259, ,071、小明误食风油精之后满嘴风凉话,102、我给您呀开两副药，您拿回去熬好了倒掉，咱权当没得过这场病,046、人与其他动物最本质的区别就是人不是其他动物,030、因为铜没有磁性，所以世界上的铜都是男铜,095、拖延症都是通过后天习得的，今天就先不学了。,4.00,066、为什么电话打久了手会酸？因为电话pHone。,4.00
260, ,070、小明在正月接发竟导致舅舅复活,101、“不要打捞我，我有权保持沉没。”沉船说。,045、犯人临死前对刽子手说：“我学生党，能小刀不？”,029、考试抄邻桌时南山区律师冲进来控告我盗用商业模式,094、感觉大家和大思想家就只差思想了,4.00,065、“大小眼用英语怎么说？”<br>“Eye”,4.00
